,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
112,269 Fountain Grass Ter,Fremont,CA,94539,37.462242,-121.91499,949000,2008,8276,CONDO,964000,2,2,1303,235,Baycal Capital,441000,FOR_SALE,2
113,43674 Ellsworth St #2,Fremont,CA,94539,37.526405,-121.919014,1100000,1994,15245,CONDO,1223600,2,2,1068,287,Coldwell Banker Realty,605000,FOR_SALE,1
114,34140 Audrey Ct,Fremont,CA,94555,37.570602,-122.05016,1898000,1986,7405,SINGLE_FAMILY,1835000,4,3,1729,0,Everhome,565000,FOR_SALE,2
115,4334 Othello Dr,Fremont,CA,94555,37.57538,-122.05238,1999000,1979,6098,SINGLE_FAMILY,1556700,4,3,2002,0,Cascade California Realty,756000,FOR_SALE,2
116,4160 Polaris Ave,Union City,CA,94587,37.584618,-122.063835,880000,1974,1794,TOWNHOUSE,952690,4,3,1584,333,Compass,246000,FOR_SALE,0
117,117 Aurora Plz,Union City,CA,94587,37.592342,-122.00384,439000,1985,0,CONDO,444100,2,1,688,335,Coldwell Banker Realty,363000,FOR_SALE,0
118,31115 Alvarado Niles Rd,Union City,CA,94587,37.597137,-122.069855,614900,1983,0,CONDO,649400,2,2,1129,369,"Performance Realtors, Inc",505000,FOR_SALE,2
119,33955 Railroad Ave,Union City,CA,94587,37.59551,-122.0195,950000,1908,4791,SINGLE_FAMILY,1061200,2,2,837,0,"Exp Realty Of California, Inc",212000,FOR_SALE,3
120,215 Poplar Ave,Hayward,CA,94541,37.670918,-122.10057,599000,1980,7898,TOWNHOUSE,706300,2,2,1272,200,Jenny He Realty Associates,565000,FOR_SALE,2
121,76 Middleton Pl,Hayward,CA,94544,37.655636,-122.087,828000,2015,1472,SINGLE_FAMILY,891678,4,4,2043,218,Intero Real Estate Services,669500,FOR_SALE,2
122,592 Jilliene Way,Hayward,CA,94544,37.623028,-122.036316,828800,1955,5001,SINGLE_FAMILY,925700,3,2,1078,0,HomeSmart ICARE Realty,285000,FOR_SALE,2
123,28188 Ormond Ave,Hayward,CA,94544,37.624622,-122.07581,799000,1954,8415,SINGLE_FAMILY,898931,3,2,1132,0,Elite Realty Services,350000,FOR_SALE,0
124,1865 Marcus Ct,Hayward,CA,94541,37.667534,-122.06466,699000,1981,0,TOWNHOUSE,730700,3,3,1620,580,Compass,429000,FOR_SALE,2
125,26394 Underwood Ave,Hayward,CA,94544,37.641666,-122.083206,789000,1952,5131,SINGLE_FAMILY,844965,3,2,1046,0,KW Bay Area Estates,300000,FOR_SALE,0
126,715 Heath Ct APT 190,Hayward,CA,94544,37.63395,-122.045105,550000,1988,8633,CONDO,531800,2,2,906,470,"Clifford R Stevens, Broker",177500,FOR_SALE,4
127,23264 Ida Ln,Hayward,CA,94541,37.661476,-122.100624,799999,1959,5227,MULTI_FAMILY,912200,4,2,1458,0,Fohl Realty & Investments,82000,FOR_SALE,0
128,26587 Mission Blvd,Hayward,CA,94544,37.646088,-122.06285,849500,2019,7187,CONDO,931379,3,3,1823,399,Compass,0,FOR_SALE,0
129,28573 Coleridge Ave,Hayward,CA,94544,37.629665,-122.06541,850000,1957,5227,SINGLE_FAMILY,880700,3,2,1256,0,Prime Properties Of Calif,165000,FOR_SALE,2
130,23965 2nd St,Hayward,CA,94541,37.671223,-122.07503,725000,1947,5227,SINGLE_FAMILY,742000,2,1,1514,0,Compass,626000,FOR_SALE,1
131,27452 Ponderosa Ct,Hayward,CA,94545,37.627983,-122.0956,689888,1970,1054,TOWNHOUSE,744101,3,2,1254,268,eXp Realty of California Inc.,565000,FOR_SALE,0
132,1751 Santa Cruz Way,Hayward,CA,94541,37.69131,-122.10216,869000,1953,5227,SINGLE_FAMILY,970200,3,2,1088,0,Compass,607000,FOR_SALE,2
133,31964 Olean St,Hayward,CA,94544,37.6119,-122.03239,875000,1951,5000,SINGLE_FAMILY,926900,4,2,1317,0,Coldwell Banker Realty,430000,FOR_SALE,0
134,19164 Garrison Ave,Castro Valley,CA,94546,37.706547,-122.079445,875000,1950,5227,SINGLE_FAMILY,872400,3,2,1405,0,Compass,0,FOR_SALE,1
135,18921 Patton Dr,Castro Valley,CA,94546,37.709145,-122.07739,749950,1949,4356,SINGLE_FAMILY,717600,2,1,860,0,Tri Valley Brokers,0,FOR_SALE,2
136,19652 Stanton Ave,Castro Valley,CA,94546,37.70114,-122.0924,949000,1920,6098,SINGLE_FAMILY,1281000,3,2,1873,0,Compass,527000,FOR_SALE,1
137,3181 Keith Ave,Castro Valley,CA,94546,37.706863,-122.09258,1355000,1949,15681,SINGLE_FAMILY,1417000,4,2,2300,0,Coldwell Banker Realty,0,FOR_SALE,2
138,1508 Grove Way,Hayward,CA,94546,37.685432,-122.08854,865000,1950,7840,SINGLE_FAMILY,905500,3,2,1480,0,Pam Winterbauer Real Estate,0,FOR_SALE,2
139,25515 Crestfield Cir,Castro Valley,CA,94552,37.68617,-122.03944,1780000,2000,10454,SINGLE_FAMILY,2022500,5,3,2992,64,Keller Williams Realty,1125000,FOR_SALE,3
140,1629 Tacoma Ave,Berkeley,CA,94707,37.891624,-122.28402,1095000,1915,3920,SINGLE_FAMILY,1603600,3,2,1250,0,Compass,645000,FOR_SALE,1
141,157 Fairlawn Dr,Berkeley,CA,94708,37.885628,-122.25052,1425000,1955,6098,SINGLE_FAMILY,1945000,3,2,1943,0,Red Oak Realty,1296000,FOR_SALE,2
142,832 Neilson St,Berkeley,CA,94707,37.89219,-122.28682,899000,1918,3484,SINGLE_FAMILY,1288700,2,1,904,0,Compass,648000,FOR_SALE,1
143,2218 Carleton St,Berkeley,CA,94704,37.861427,-122.26367,2449000,1917,6534,MULTI_FAMILY,1718100,6,4,2964,0,Compass,1500000,FOR_SALE,0
144,821 San Luis Rd,Berkeley,CA,94707,37.8944,-122.27051,1095000,1949,6098,SINGLE_FAMILY,1084000,2,1,1088,0,Coldwell Banker Realty,980000,FOR_SALE,1
145,3036 Fulton St #A,Berkeley,CA,94705,37.854397,-122.263596,798000,1915,5227,CONDO,855400,2,2,976,250,Bay Area Properties,0,FOR_SALE,0
146,2333 Rose St,Berkeley,CA,94708,37.88336,-122.263916,1995000,1927,3920,SINGLE_FAMILY,2774300,4,5,2966,0,Compass,2343000,FOR_SALE,2
147,1260 Burnett St,Berkeley,CA,94702,37.853363,-122.28407,1899000,1912,4356,SINGLE_FAMILY,2037700,6,3,2888,0,Compass,0,FOR_SALE,2
148,3055 Shattuck Ave,Berkeley,CA,94705,37.853275,-122.26592,1350000,1908,5662,MULTI_FAMILY,1403000,4,2,1986,0,"Apex Financial & Realty, Inc.",156000,FOR_SALE,0
149,3110 Martin Luther King Jr Way,Berkeley,CA,94703,37.851944,-122.271164,1156000,1906,3920,MULTI_FAMILY,1390200,5,3,2553,0,Compass,900000,FOR_SALE,0
150,1931 Magellan Dr,Oakland,CA,94611,37.828793,-122.207886,979000,1938,6534,SINGLE_FAMILY,1586600,3,2,1762,0,Red Oak Realty,535000,FOR_SALE,2
151,6470 Buena Ventura Ave,Oakland,CA,94605,37.776203,-122.17514,995000,1949,6969,SINGLE_FAMILY,986000,4,3,2518,0,Compass,650000,FOR_SALE,4
152,4157 Manila Ave,Oakland,CA,94609,37.830315,-122.25752,1095000,1919,4356,SINGLE_FAMILY,1437000,3,2,1419,0,Compass,227500,FOR_SALE,1
153,1942 17th Ave,Oakland,CA,94606,37.79159,-122.23906,749000,1926,5227,SINGLE_FAMILY,821900,3,2,1384,0,Exp Realty Of California,375000,FOR_SALE,2
154,5823 Kingsley Cir,Oakland,CA,94605,37.77248,-122.19054,399000,1924,1742,SINGLE_FAMILY,433800,2,1,714,0,Keller Williams Realty,125000,FOR_SALE,0
155,2138 Havenscourt Blvd,Oakland,CA,94621,37.764282,-122.18923,649000,1923,3998,SINGLE_FAMILY,712600,3,2,1608,0,Coldwell Banker Realty,234000,FOR_SALE,0
156,4315 Whittle Ave,Oakland,CA,94602,37.810295,-122.20542,899000,1950,10890,SINGLE_FAMILY,1140300,2,1,1130,0,Compass,117500,FOR_SALE,1
157,1100 76th Ave,Oakland,CA,94621,37.755234,-122.18887,599000,1939,4162,MULTI_FAMILY,656600,4,2,1386,0,Kinetic Real Estate,437000,FOR_SALE,3
158,1920 Union St #9,Oakland,CA,94607,37.814007,-122.286575,449000,1930,0,CONDO,455700,1,1,1006,368,Keller Williams Realty,0,FOR_SALE,0
159,5627 Fleming Ave,Oakland,CA,94605,37.773815,-122.191444,799000,1923,0,SINGLE_FAMILY,929400,3,2,1562,0,Compass,350000,FOR_SALE,1
160,5750 Kingsley Cir,Oakland,CA,94605,37.772987,-122.19084,449000,1924,2178,SINGLE_FAMILY,540400,2,1,817,0,Compass,425000,FOR_SALE,1
161,3641 Dimond Ave,Oakland,CA,94602,37.802956,-122.21691,1095000,1901,10890,SINGLE_FAMILY,1612800,4,3,2654,0,Keller Williams Realty,930000,FOR_SALE,0
162,1754 12th St,Oakland,CA,94607,37.812286,-122.299324,800000,2010,8276,CONDO,849600,3,4,1652,275,Compass,457000,FOR_SALE,2
